Scenario Name,Date,Real GDP growth,Nominal GDP growth,Real disposable income growth,Nominal disposable income growth,Unemployment rate,CPI inflation rate,3-month Treasury rate,5-year Treasury yield,10-year Treasury yield,BBB corporate yield,Mortgage rate,Prime rate,Dow Jones Total Stock Market Index (Level),House Price Index (Level),Commercial Real Estate Price Index (Level),Market Volatility Index (Level)
Actual,2006 Q2,1.0,4.6,1.5,5.1,4.6,3.7,4.7,5.0,5.2,6.3,6.6,7.9,12808.9,192.7,213.8,23.8
Actual,2006 Q3,0.6,3.4,0.8,3.7,4.6,3.8,4.9,4.8,5.0,6.3,6.6,8.3,13322.5,191.4,222.3,18.6
Actual,2006 Q4,3.4,5.0,5.2,4.5,4.4,-1.6,4.9,4.6,4.7,6.0,6.2,8.3,14215.8,190.8,224.7,12.7
Actual,2007 Q1,1.2,5.1,3.0,6.8,4.5,4.0,5.0,4.6,4.8,6.0,6.2,8.3,14354.0,188.6,232.4,19.6
Actual,2007 Q2,2.6,5.3,1.8,5.3,4.5,4.6,4.7,4.7,4.9,6.2,6.4,8.3,15163.1,183.5,241.4,18.9
Actual,2007 Q3,2.4,4.6,0.7,3.0,4.7,2.6,4.3,4.5,4.8,6.5,6.6,8.2,15317.8,178.2,248.8,30.8
Actual,2007 Q4,2.5,4.2,0.6,4.8,4.8,5.0,3.4,3.8,4.4,6.3,6.2,7.5,14753.6,172.4,248.7,31.1
Actual,2008 Q1,-1.6,-0.2,0.7,4.0,5.0,4.4,2.1,2.8,3.9,6.4,5.9,6.2,13284.1,165.4,236.4,32.2
Actual,2008 Q2,2.3,4.4,8.0,12.3,5.3,5.3,1.6,3.2,4.1,6.7,6.1,5.1,13016.4,158.0,225.5,24.1
Actual,2008 Q3,-2.1,0.9,-7.8,-3.8,6.0,6.3,1.5,3.1,4.1,7.1,6.3,5.0,11826.0,150.8,231.5,46.7
Actual,2008 Q4,-8.5,-7.6,4.4,-2.1,6.9,-8.9,0.3,2.2,3.7,9.7,5.8,4.1,9056.7,143.2,220.5,80.9
Actual,2009 Q1,-4.6,-4.8,-0.9,-3.5,8.3,-2.7,0.2,1.9,3.2,9.1,5.1,3.3,8044.2,139.1,212.9,56.7
Actual,2009 Q2,-0.7,-1.4,2.2,3.8,9.3,2.1,0.2,2.3,3.7,8.1,5.0,3.3,9342.8,138.9,181.7,42.3
Actual,2009 Q3,1.5,1.9,-4.8,-2.1,9.6,3.5,0.2,2.5,3.8,6.5,5.2,3.3,10812.8,139.5,162.6,31.3
Actual,2009 Q4,4.3,5.7,0.8,3.9,9.9,3.2,0.1,2.3,3.7,5.8,4.9,3.3,11385.1,140.0,159.4,30.7
Actual,2010 Q1,2.0,3.1,3.1,4.7,9.8,0.6,0.1,2.4,3.9,5.6,5.0,3.3,12032.5,140.0,155.3,27.3
Actual,2010 Q2,3.9,6.0,6.8,7.5,9.6,-0.1,0.1,2.3,3.6,5.4,4.9,3.3,10645.8,139.0,168.0,45.8
Actual,2010 Q3,3.1,4.4,2.6,3.4,9.5,1.2,0.2,1.6,2.9,4.8,4.4,3.3,11814.0,136.4,169.0,32.9
Actual,2010 Q4,2.1,4.5,1.5,4.1,9.5,3.3,0.1,1.5,3.0,4.7,4.4,3.3,13131.5,135.1,169.8,23.5
Actual,2011 Q1,-1.0,1.1,3.9,7.4,9.0,4.3,0.1,2.1,3.5,5.0,4.8,3.3,13908.5,133.9,173.9,29.4
Actual,2011 Q2,2.7,5.5,-1.0,2.9,9.1,4.6,0.0,1.8,3.3,4.8,4.7,3.3,13843.5,133.4,175.0,22.7
Actual,2011 Q3,-0.2,2.3,1.8,3.7,9.0,2.6,0.0,1.1,2.5,4.5,4.3,3.3,11676.5,134.0,171.3,48.0
Actual,2011 Q4,4.6,5.1,1.1,2.5,8.6,1.8,0.0,1.0,2.1,4.8,4.0,3.3,13019.3,134.1,177.9,45.5
Actual,2012 Q1,3.3,5.8,7.6,10.4,8.3,2.3,0.1,0.9,2.1,4.4,3.9,3.3,14627.5,135.6,182.5,23.0
Actual,2012 Q2,1.8,3.5,3.6,4.6,8.2,0.8,0.1,0.8,1.8,4.3,3.8,3.3,14100.2,138.7,180.2,26.7
Actual,2012 Q3,0.7,2.8,-2.6,-1.5,8.0,1.8,0.1,0.7,1.6,3.9,3.6,3.3,14894.7,141.5,183.8,20.5
Actual,2012 Q4,0.4,2.5,11.6,14.2,7.8,2.7,0.1,0.7,1.7,3.6,3.4,3.3,14834.9,144.6,185.4,22.7
Actual,2013 Q1,3.5,5.2,-14.9,-13.6,7.7,1.6,0.1,0.8,1.9,3.7,3.5,3.3,16396.2,148.3,188.5,19.0
Actual,2013 Q2,0.6,1.7,3.0,3.3,7.5,-0.4,0.1,0.9,2.0,3.8,3.7,3.3,16771.3,152.2,197.2,20.5
Actual,2013 Q3,3.2,5.2,1.5,3.2,7.2,2.2,0.0,1.5,2.7,4.7,4.4,3.3,17718.3,155.9,208.8,17.0
Actual,2013 Q4,2.9,5.4,1.2,2.9,6.9,1.5,0.1,1.4,2.8,4.5,4.3,3.3,19413.2,158.9,212.3,20.3
Actual,2014 Q1,-1.4,0.3,5.1,7.1,6.7,2.5,0.0,1.6,2.8,4.4,4.4,3.3,19711.2,160.8,209.2,21.4
Actual,2014 Q2,5.2,7.6,5.4,7.5,6.2,2.1,0.0,1.7,2.7,4.0,4.2,3.3,20568.7,162.1,214.5,17.0
Actual,2014 Q3,4.7,6.6,4.6,5.8,6.1,1.0,0.0,1.7,2.5,3.9,4.1,3.3,20458.8,164.2,220.5,17.0
Actual,2014 Q4,1.8,2.5,5.7,5.2,5.7,-1.0,0.0,1.6,2.3,4.0,4.0,3.3,21424.6,166.7,227.3,26.3
Actual,2015 Q1,3.3,3.1,5.4,3.7,5.5,-2.6,0.0,1.5,2.0,3.9,3.7,3.3,21707.6,168.7,239.5,22.4
Actual,2015 Q2,2.3,4.6,1.1,3.1,5.4,2.8,0.0,1.5,2.2,3.9,3.8,3.3,21630.9,170.8,243.4,18.9
Actual,2015 Q3,1.3,2.5,2.3,3.3,5.1,1.5,0.0,1.6,2.3,4.3,4.0,3.3,19959.3,173.2,244.9,40.7
Actual,2015 Q4,0.6,0.5,2.5,2.1,5.0,0.0,0.1,1.6,2.2,4.4,3.9,3.3,21100.9,175.6,245.5,24.4
Actual,2016 Q1,2.4,2.0,3.1,3.3,4.9,-0.2,0.3,1.4,2.0,4.5,3.7,3.5,21179.4,177.8,238.8,28.1
Actual,2016 Q2,1.2,4.1,-0.7,1.9,4.9,3.2,0.3,1.3,1.8,3.9,3.6,3.5,21621.5,179.8,242.0,25.8
Actual,2016 Q3,2.4,3.6,1.9,3.5,4.9,1.7,0.3,1.2,1.6,3.5,3.4,3.5,22468.6,182.3,254.6,18.1
Actual,2016 Q4,2.0,4.2,2.1,4.1,4.8,2.6,0.4,1.7,2.2,3.9,3.8,3.5,23276.7,185.1,257.1,22.5
Actual,2017 Q1,1.9,4.0,4.1,6.4,4.6,2.7,0.6,2.0,2.5,4.0,4.2,3.8,24508.3,187.7,253.4,13.1
Actual,2017 Q2,2.3,3.6,4.0,5.2,4.4,0.7,0.9,1.8,2.3,3.8,4.0,4.0,25125.0,190.3,261.5,16.0
Actual,2017 Q3,2.9,5.0,2.4,4.0,4.3,1.9,1.0,1.8,2.3,3.7,3.9,4.3,26148.5,193.2,266.7,16.0
Actual,2017 Q4,3.8,6.8,2.0,4.7,4.2,3.2,1.2,2.1,2.4,3.7,3.9,4.3,27673.2,196.3,274.6,13.1
Actual,2018 Q1,3.1,5.3,4.9,7.7,4.0,3.1,1.6,2.5,2.8,4.1,4.3,4.5,27383.0,199.4,270.4,37.3
Actual,2018 Q2,3.4,7.1,3.4,5.8,3.9,2.5,1.8,2.8,2.9,4.5,4.5,4.8,28313.8,201.8,283.3,23.6
Actual,2018 Q3,1.9,3.3,3.4,4.7,3.8,1.6,2.0,2.8,2.9,4.5,4.6,5.0,30189.6,203.6,276.3,16.1
Actual,2018 Q4,0.9,3.0,3.0,4.7,3.8,1.6,2.3,2.9,3.0,4.8,4.8,5.3,25724.5,205.4,276.9,36.1
Actual,2019 Q1,2.4,3.7,3.6,4.1,3.9,0.7,2.4,2.5,2.7,4.5,4.4,5.5,29193.9,207.3,283.1,25.5
Actual,2019 Q2,3.2,5.6,-1.4,1.3,3.6,3.5,2.3,2.1,2.4,4.0,4.0,5.5,30243.8,209.2,296.4,20.6
Actual,2019 Q3,2.8,4.1,2.3,3.4,3.6,1.3,2.0,1.7,1.8,3.4,3.7,5.3,30441.8,211.3,304.9,24.6
Actual,2019 Q4,1.9,3.6,2.4,4.1,3.6,2.6,1.6,1.6,1.8,3.3,3.7,4.8,33035.4,214.1,298.4,20.6
Actual,2020 Q1,-5.1,-3.9,3.0,4.3,3.8,1.0,1.1,1.2,1.4,3.4,3.5,4.4,25984.8,217.1,300.1,82.7
Actual,2020 Q2,-31.2,-32.4,48.5,46.1,13.0,-3.1,0.1,0.4,0.7,3.4,3.2,3.3,31576.8,219.6,301.5,57.1
Actual,2020 Q3,33.8,38.7,-16.6,-13.6,8.8,4.7,0.1,0.3,0.6,2.4,3.0,3.3,34305.8,225.2,300.0,33.6
Actual,2020 Q4,4.5,6.6,-8.3,-6.9,6.8,2.4,0.1,0.4,0.9,2.3,2.8,3.3,39219.6,232.7,311.7,40.3
